,torque,neutral,cr,1,2,3,4,5,6,7,8,,start_range,end_range,
1,-1474,0,0,0,0,0,0,0,0,0,0,,-1499,-1449,#NAME?
2,-1423,0,0,0,0,0,0,0,0,0,0,,,,
3,-1372,0,0,0,0,0,0,0,0,0,0,,,,
4,-1321,0,0,0,0,0,0,0,0,0,0,,,,
5,-1270,0,0,0,0,0,0,0,0,0,0,,,,
6,-1219,0,0,0,0,0,0,0,0,0,0,,,,
7,-1168,0,0,0,0,0,0,0,0,0,0,,,,
8,-1117,0,0,0,0,0,0,0,0,0,0,,,,
9,-1066,0,0,0,0,0,0,0,0,0,0,,,,
10,-1015,0,0,0,0,0,0,0,0,0,0,,,,
11,-964,0,0,0,0,0,0,0,0,0,0,,,,
12,-913,0,0,0,0,0,0,0,0,0,0,,,,
13,-862,0,0,0,0,0,0,0,0,0,0,,,,
14,-811,0,0,0,0,0,0,0,0,0,0,,,,
15,-760,0,0,0,0,0,0,0,0,0,0,,,,
16,-709,0,0,0,0,0,0,0,0,0,0,,,,
17,-658,0,0,0,0,0,0,0,0,0,0,,,,
18,-607,0,0,0,0,0,0,0,0,0,0,,,,
19,-556,0,0,0,0,0,0,0,0,0,0,,,,
20,-505,0,0,0,0,0,0,0,0,0,0,,,,
21,-454,0,0,0,0,0,0,0,0,0,0,,,,
22,-403,0,0,0,0,0,0,0,0,0,0,,,,
23,-352,0,0,0,0,0,0,0,0,0,0,,,,
24,-301,0,0,0,0,0,0,0,0,0,0,,,,
25,-250,0,0,0,0,0,0,0,0,0,0,,,,
26,-199,0,0,0,0,0,0,0,0,0,0,,,,
27,-148,10240.66667,0,0,0,0,0,0,0,0,0,,,,
28,-97,117272.75,0,94.33333333,0,0,0,0,0,4596.666667,206244.8333,,,,
29,-46,136341.9167,69.16666667,0,0,0,0,176,10787.58333,20722.75,280112,,,,
30,5,311641.4167,0,0,0,0,0,29832.08333,542007,170935.3333,165815,,,,
31,56,71307.25,0,0,0,0,0,0,949.1666667,320.5833333,101967,,,,
32,107,56847.91667,0,0,0,0,0,0,100.5833333,232.5833333,97955,,,,
33,158,57049.08333,0,0,0,0,0,0,100.5833333,113.1666667,122774.25,,,,
34,209,49629.91667,0,0,0,0,0,0,56.58333333,226.3333333,152372.1667,,,,
35,260,43513,0,0,0,0,0,0,132,226.3333333,172060.1667,,,,
36,311,44261.75,0,0,0,0,0,0,56.58333333,226.3333333,161081.5,,,,
37,362,42281.5,0,0,0,0,0,0,0,251.5,149814.1667,,,,
38,413,40144.75,0,0,0,0,0,0,0,56.58333333,139691.25,,,,
39,464,41056.58333,0,0,0,0,0,0,0,0,134222.1667,,,,
40,515,45433.58333,0,0,0,0,0,0,0,113.1666667,147209.1667,,,,
41,566,53700.91667,0,0,0,0,0,0,0,0,162340.25,,,,
42,617,63989.66667,0,0,0,0,0,0,0,0,181507.75,,,,
43,668,71695,0,0,0,0,0,0,0,0,191587.3333,,,,
44,719,74381.66667,0,0,0,0,0,0,0,0,196863.5833,,,,
45,770,81431.83333,0,0,0,0,0,0,0,0,175759.9167,,,,
46,821,84583,0,0,0,0,0,0,0,0,144129.0833,,,,
47,872,89192.08333,0,0,0,0,0,0,0,0,133243.0833,,,,
48,923,96412.08333,0,0,0,0,0,0,0,0,131799,,,,
49,974,91966.5,0,0,0,0,0,0,0,0,76103.83333,,,,
50,1025,60084.58333,0,0,0,0,0,0,0,0,19388.33333,,,,
51,1076,41049.33333,0,0,0,0,0,0,0,0,4905.416667,,,,
52,1127,0,0,0,0,0,0,0,0,0,0,,,,
53,1178,0,0,0,0,0,0,0,0,0,0,,,,
54,1229,0,0,0,0,0,0,0,0,0,0,,,,
55,1280,0,0,0,0,0,0,0,0,0,0,,,,
56,1331,0,0,0,0,0,0,0,0,0,0,,,,
57,1382,0,0,0,0,0,0,0,0,0,0,,,,
58,1433,0,0,0,0,0,0,0,0,0,0,,1408,1458,1433
